
Year,Month,tmax,tmin,ppt
1977,10,21.2367,1.41154,2.91406
1977,11,12.828,-2.93516,25.38598
1977,12,8.38898,-3.15081,57.43837
1978,1,6.42607,-3.66753,37.96311
1978,2,7.53584,-3.89224,24.63668
1978,3,13.79217,-0.21733,36.15382
1978,4,12.77437,-0.37736,56.34978
1978,5,18.87644,1.50006,11.20282
1978,6,25.19372,5.54602,7.62309
1978,7,31.4795,10.58522,6.55903
1978,8,31.05219,9.73106,4.9309
1978,9,24.11134,5.49226,30.848
1978,10,23.34666,1.09424,0.6125
1978,11,9.53835,-5.65915,21.55668
1978,12,3.6697,-10.75471,20.26858
1979,1,2.01638,-9.9862,23.53407
1979,2,6.3477,-5.01734,28.10204
1979,3,11.76906,-3.02666,24.29136
1979,4,14.7676,-1.4436,20.40694
1979,5,21.79526,3.60798,14.11984
1979,6,27.03035,6.25645,6.55781
1979,7,31.81219,10.76534,20.91185
1979,8,29.78951,10.58077,42.89731
1979,9,29.61941,7.16571,1.27674
1979,10,20.9301,4.00245,27.53307
1979,11,9.8562,-5.28793,25.4977
1979,12,8.44395,-6.10496,23.71437
1980,1,5.45498,-5.18587,55.50087
1980,2,9.10859,-2.23461,32.10039
1980,3,9.31042,-4.62031,14.67365
1980,4,16.65876,-0.30056,15.61966
1980,5,18.56578,3.43935,37.83872
1980,6,22.78793,4.89269,23.7125
1980,7,31.51806,11.32963,11.6092
1980,8,30.47274,9.31757,4.19479
1980,9,26.49566,6.5623,13.45048
1980,10,20.2597,0.98139,9.47153
1980,11,12.81305,-3.10997,16.17227
1980,12,9.2377,-6.05046,17.39774
1981,1,8.26014,-5.56832,16.65799
1981,2,8.97531,-5.74155,16.02587
1981,3,10.877,-3.71437,27.16962
1981,4,17.09908,-0.01957,12.03663
1981,5,19.41635,3.24654,42.0145
1981,6,27.17145,7.62834,5.26736
1981,7,31.9236,9.68606,3.3951
1981,8,33.35151,10.3447,1.89058
1981,9,28.14204,7.48909,8.25091
1981,10,16.7448,0.20917,31.17813
1981,11,12.2778,-1.26875,66.03346
1981,12,8.12314,-2.89175,48.40408
1982,1,3.23831,-8.8472,18.3895
1982,2,7.07261,-5.64661,17.47947
1982,3,8.60902,-3.47934,30.79792
1982,4,12.80796,-2.8689,20.39761
1982,5,20.29465,1.84783,7.9674
